group_id,actor_name,aliases,actor_type,country_attribution,targeted_sectors,mitre_description,technique_count,tactic_count,technique_diversity_score,associated_cve_count,avg_cvss_score,max_cvss_score,kev_count,critical_vuln_ratio,kev_ratio,acled_event_count,acled_political_violence_events_total,acled_months_observed,acled_avg_monthly_political_violence_events,acled_max_monthly_political_violence_events,geo_instability_score,conflict_intensity_index,capability_score,opportunity_score,activity_score,composite_risk_score,has_country_attribution,has_targeted_sector,has_cve_mapping
G0001,Axiom,Axiom; Group 72,,China,Critical Manufacturing; Defense Industrial Base; Government Facilities; Media; Transportation Systems,"[Axiom](https://attack.mitre.org/groups/G0001) is a suspected Chinese cyber espionage group that has targeted the aerospace, defense, government, manufacturing, and media sectors since at least 2008. Some reporting suggests a degree of overlap between [Axiom](https://attack.mitre.org/groups/G0001) and [Winnti Group](https://attack.mitre.org/groups/G0044) but the two groups appear to be distinct based on differences in reporting on TTPs and targeting.(Citation: Kaspersky Winnti April 2013)(Citation: Kaspersky Winnti June 2015)(Citation: Novetta Winnti April 2015)",16,11,0.12307692307692308,9,9.022222222222222,9.8,8,0.3333333333333333,0.8888888888888888,2830,2830,101,28.019801980198018,182,0.009475277,0.009475277,0.5123642873642873,0.009475277,0.39,0.37507719912758214,1,1,1
G0002,Moafee,Moafee,,China,unknown,"[Moafee](https://attack.mitre.org/groups/G0002) is a threat group that appears to operate from the Guandong Province of China. Due to overlapping TTPs, including similar custom tools, Moafee is thought to have a direct or indirect relationship with the threat group [DragonOK](https://attack.mitre.org/groups/G0017). (Citation: Haq 2014)",1,1,0.007692308,0,0,0,0,0,0,2830,2830,101,28.019801980198018,182,0.009475277,0.009475277,0.003846154,0.009475277,0,0.003818132,1,0,0
G0003,Cleaver,Cleaver; Threat Group 2889; TG-2889,State,Iran,unknown,[Cleaver](https://attack.mitre.org/groups/G0003) is a threat group that has been attributed to Iranian actors and is responsible for activity tracked as Operation Cleaver. (Citation: Cylance Cleaver) Strong circumstantial evidence suggests Cleaver is linked to Threat Group 2889 (TG-2889). (Citation: Dell Threat Group 2889),5,3,0.038461538461538464,10,7.7555555555555555,9.8,4,0.1,0.4,5342,5342,125,42.736,2238,0.017885841324262068,0.014451759790003748,0.3157397782397783,0.016855616863984572,0.2866666666666667,0.24724101249268604,1,0,1
G0004,Ke3chang,Ke3chang; APT15; Mirage; Vixen Panda; GREF; Playful Dragon; RoyalAPT; NICKEL; Nylon Typhoon,State,China,Defense Industrial Base; Energy; Government Facilities; NGO,"[Ke3chang](https://attack.mitre.org/groups/G0004) is a threat group attributed to actors operating out of China. [Ke3chang](https://attack.mitre.org/groups/G0004) has targeted oil, government, diplomatic, military, and NGOs in Central and South America, the Caribbean, Europe, and North America since at least 2010.(Citation: Mandiant Operation Ke3chang November 2014)(Citation: NCC Group APT15 Alive and Strong)(Citation: APT15 Intezer June 2018)(Citation: Microsoft NICKEL December 2021)",46,12,0.35384615384615387,2,9.8,9.8,1,1,0.5,2830,2830,101,28.019801980198018,182,0.009475277,0.009475277,0.5502338877338877,0.009475277,0.063333333,0.29601199931238237,1,1,1
G0005,APT12,APT12; IXESHE; DynCalc; Numbered Panda; DNSCALC,State,China,Government Facilities; Media,"[APT12](https://attack.mitre.org/groups/G0005) is a threat group that has been attributed to China. The group has targeted a variety of victims including but not limited to media outlets, high-tech companies, and multiple governments.(Citation: Meyers Numbered Panda)",5,3,0.038461538461538464,6,8.299999999999999,8.8,6,0,1,2830,2830,101,28.019801980198018,182,0.009475277,0.009475277,0.4795348232848233,0.009475277,0.28,0.3256624670878501,1,1,1
G0006,APT1,APT1; Comment Crew; Comment Group; Comment Panda,State,China,Defense Industrial Base,"[APT1](https://attack.mitre.org/groups/G0006) is a Chinese threat group that has been attributed to the 2nd Bureau of the People’s Liberation Army (PLA) General Staff Department’s (GSD) 3rd Department, commonly known by its Military Unit Cover Designator (MUCD) as Unit 61398. (Citation: Mandiant APT1)",23,8,0.17692307692307693,1,9.8,9.8,1,1,1,2830,2830,101,28.019801980198018,182,0.009475277,0.009475277,0.5867723492723493,0.009475277,0.046666667,0.3092812300816132,1,1,1
G0007,APT28,APT28; IRON TWILIGHT; SNAKEMACKEREL; Swallowtail; Group 74; Sednit; Sofacy; Pawn Storm; Fancy Bear; STRONTIUM; Tsar Team; Threat Group-4127; TG-4127; Forest Blizzard; FROZENLAKE; GruesomeLarch,State,Russia,"Chemical; Defense Industrial Base; Nuclear Reactors, Materials, and Waste; Transportation Systems","[APT28](https://attack.mitre.org/groups/G0007) is a threat group that has been attributed to Russia's General Staff Main Intelligence Directorate (GRU) 85th Main Special Service Center (GTsSS) military unit 26165.(Citation: NSA/FBI Drovorub August 2020)(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021) This group has been active since at least 2004.(Citation: DOJ GRU Indictment Jul 2018)(Citation: Ars Technica GRU indictment Jul 2018)(Citation: Crowdstrike DNC June 2016)(Citation: FireEye APT28)(Citation: SecureWorks TG-4127)(Citation: FireEye APT28 January 2017)(Citation: GRIZZLY STEPPE JAR)(Citation: Sofacy DealersChoice)(Citation: Palo Alto Sofacy 06-2018)(Citation: Symantec APT28 Oct 2018)(Citation: ESET Zebrocy May 2019)

[APT28](https://attack.mitre.org/groups/G0007) reportedly compromised the Hillary Clinton campaign, the Democratic National Committee, and the Democratic Congressional Campaign Committee in 2016 in an attempt to interfere with the U.S. presidential election.(Citation: Crowdstrike DNC June 2016) In 2018, the US indicted five GRU Unit 26165 officers associated with [APT28](https://attack.mitre.org/groups/G0007) for cyber operations (including close-access operations) conducted between 2014 and 2018 against the World Anti-Doping Agency (WADA), the US Anti-Doping Agency, a US nuclear facility, the Organization for the Prohibition of Chemical Weapons (OPCW), the Spiez Swiss Chemicals Laboratory, and other organizations.(Citation: US District Court Indictment GRU Oct 2018) Some of these were conducted with the assistance of GRU Unit 74455, which is also referred to as [Sandworm Team](https://attack.mitre.org/groups/G0034). ",93,15,0.7153846153846154,24,8.1125,9.8,20,0.20833333333333334,0.8333333333333334,39560,39560,101,391.6831683168317,1716,0.13245299191085874,0.13245299191085874,0.7715788504851006,0.13245299191085874,1,0.712280024,1,1,1
G0008,Carbanak,Carbanak; Anunak,Nonstate CyberCrime,Unknown,Financial Services; Information Technology,[Carbanak](https://attack.mitre.org/groups/G0008) is a cybercriminal group that has used [Carbanak](https://attack.mitre.org/software/S0030) malware to target financial institutions since at least 2013. [Carbanak](https://attack.mitre.org/groups/G0008) may be linked to groups tracked separately as [Cobalt Group](https://attack.mitre.org/groups/G0080) and [FIN7](https://attack.mitre.org/groups/G0046) that have also used [Carbanak](https://attack.mitre.org/software/S0030) malware.(Citation: Kaspersky Carbanak)(Citation: FireEye FIN7 April 2017)(Citation: Europol Cobalt Mar 2018)(Citation: Secureworks GOLD NIAGARA Threat Profile)(Citation: Secureworks GOLD KINGSWOOD Threat Profile),9,7,0.069230769,2,9.2,10,2,0.5,1,0,0,0,0,0,0,0,0.5177234927234927,0,0.093333333,0.28686174636174633,1,1,1
G0009,Deep Panda,Deep Panda; Shell Crew; WebMasters; KungFu Kittens; PinkPanther; Black Vine,State,China,Communications; Defense Industrial Base; Financial Services; Government Facilities; Healthcare and Public Health,"[Deep Panda](https://attack.mitre.org/groups/G0009) is a suspected Chinese threat group known to target many industries, including government, defense, financial, and telecommunications. (Citation: Alperovitch 2014) The intrusion into healthcare company Anthem has been attributed to [Deep Panda](https://attack.mitre.org/groups/G0009). (Citation: ThreatConnect Anthem) This group is also known as Shell Crew, WebMasters, KungFu Kittens, and PinkPanther. (Citation: RSA Shell Crew) [Deep Panda](https://attack.mitre.org/groups/G0009) also appears to be known as Black Vine based on the attribution of both group names to the Anthem intrusion. (Citation: Symantec Black Vine) Some analysts track [Deep Panda](https://attack.mitre.org/groups/G0009) and [APT19](https://attack.mitre.org/groups/G0073) as the same group, but it is unclear from open source information if the groups are the same. (Citation: ICIT China's Espionage Jul 2016)",10,6,0.076923077,0,0,0,0,0,0,2830,2830,101,28.019801980198018,182,0.009475277,0.009475277,0.038461538461538464,0.009475277,0,0.021125824676207706,1,1,0
G0010,Turla,Turla; IRON HUNTER; Group 88; Waterbug; WhiteBear; Snake; Krypton; Venomous Bear; Secret Blizzard; BELUGASTURGEON,State,Russia,Defense Industrial Base; Education; Government Facilities; Healthcare and Public Health; Information Technology; Water and Wastewater Systems,"[Turla](https://attack.mitre.org/groups/G0010) is a cyber espionage threat group that has been attributed to Russia's Federal Security Service (FSB).  They have compromised victims in over 50 countries since at least 2004, spanning a range of industries including government, embassies, military, education, research and pharmaceutical companies. [Turla](https://attack.mitre.org/groups/G0010) is known for conducting watering hole and spearphishing campaigns, and leveraging in-house tools and malware, such as [Uroburos](https://attack.mitre.org/software/S0022).(Citation: Kaspersky Turla)(Citation: ESET Gazer Aug 2017)(Citation: CrowdStrike VENOMOUS BEAR)(Citation: ESET Turla Mosquito Jan 2018)(Citation: Joint Cybersecurity Advisory AA23-129A Snake Malware May 2023)",68,13,0.5230769230769231,1,7.8,7.8,1,0,1,39560,39560,101,391.6831683168317,1716,0.13245299191085874,0.13245299191085874,0.7091735966735967,0.13245299191085874,0.046666667,0.39507739671897013,1,1,1
